id,identifier,name,specialty,telecom,active,created_at
2cbf5025-7eeb-459f-a665-29acf729db0c,215cdb96-8a9d-43b8-b509-49828ae73170,Dr. Cole Spencer,"Scientist, clinical (histocompatibility and immunogenetics)",bradleyburns@example.net,t,2026-05-05 01:19:32.408889
b8e3bd87-acf9-4116-a6d7-cd34881de03c,530bf6bd-04bf-457d-ae0e-b37b42a4b1ac,Jennifer Dunn,"Surveyor, land/geomatics",peter23@example.org,t,2026-05-05 01:19:32.408889
e1caee5e-71ee-4cec-91bd-303b1d19e1fe,58e1abae-7891-45be-9662-34d5859d185b,Debra Gregory,"Psychologist, educational",jenningschloe@example.org,t,2026-05-05 01:19:32.408889
cc9cfdef-a4f0-4f15-9616-ae4f640ecf12,b5113dfc-16d5-4800-a1e2-9c825cf24795,Heather Hood,Energy manager,debrasweeney@example.com,t,2026-05-05 01:19:32.408889
f01c3106-8adc-4e2c-a16e-eeb3e4ebea17,3c202dc0-2e37-478c-a966-782eed9a4c52,Christopher Collins,Bookseller,danielhunt@example.org,t,2026-05-05 01:19:32.408889
9298ee02-73fc-4a0d-9f73-d456a7f9e0bf,64e77cf9-bd3a-416c-b308-62036eb0b1a5,Amanda Barr,Textile designer,riverajessica@example.com,t,2026-05-05 01:20:56.501302
195f8f8e-8303-4ae8-bcbe-a1128df2adb4,29e2ae55-4e70-4553-b2a8-d62a861a142e,Elizabeth Franco,"Loss adjuster, chartered",ygarcia@example.com,t,2026-05-05 01:20:56.501302
b1722b7c-8c77-46d3-bc22-c71239482d8c,60951180-f443-4694-bb3f-4454e495b086,James Jordan,Patent attorney,jacksonmichelle@example.org,t,2026-05-05 01:20:56.501302
b685808a-6d72-4d14-b224-13cec5a568e0,9ee9dbff-5d48-4f67-9663-f6d36a65cf04,Sandra Weaver,"Biochemist, clinical",csalazar@example.net,t,2026-05-05 01:20:56.501302
2a50e2e6-d096-4f7f-8988-903085c68acd,b6eb1781-233c-4095-aaa6-ba7dc8b4bdd6,Laura Sanchez,"Engineer, maintenance (IT)",summer00@example.com,t,2026-05-05 01:20:56.501302
953f5593-141c-419d-9be8-dc952c790ea3,783e1c70-ebea-454d-a393-d62d6f6edd4b,Cristian Thomas,Risk manager,zbrooks@example.com,t,2026-05-05 23:39:46.121085
f2071a65-bc00-4de7-b69c-1f977c3d0fb2,b0346c6e-44fe-407d-b11b-ce5fb3d63bb0,Adam Knox,Chartered legal executive (England and Wales),zmccarthy@example.com,t,2026-05-05 23:39:46.121085
0555742b-b3c7-443b-b230-efe77f828614,b906671f-1da0-4ea9-8b76-5633073a805e,Samuel Jones,Forensic psychologist,clementssandra@example.net,t,2026-05-05 23:39:46.121085
32684a0c-cb32-4fc2-a2fc-d401c01c82c1,c3fec9b0-f311-4cac-b007-c1c20a9eee1a,Emma Cervantes,Technical brewer,wstephens@example.com,t,2026-05-05 23:39:46.121085
1724c70f-3318-4120-a9f4-6db7ed779d55,168129d5-a051-40e1-9a58-4e94233140ea,Denise Sawyer MD,Print production planner,christine67@example.org,t,2026-05-05 23:39:46.121085
